id	turn1	turn2	turn3
817	Are you my friend?		Then answer my question
818	I am in your heart		Where are you nothing any message and reply anymore
819	Planning to flirt wd u		🤣
820	Dnt message me		Get lost
821	I can't talk show		I will fuck you I don't have you talked me
822	You asked me		I replied with how
823	You have me		Thats it
824	Hey there, we did start off on a rude tone, but you aren't that bad. So, start over? 		I already knew the name of the Twitter bird
825	Are u mad		Wtf
826	Even I like songs		Mainly Indian classical
827	Really I'm 18		What just shut up
828	What else you can do?		Can you draw?
829	Ofcorse		I am handsome boy
830	And I thought only I wasn't		Haha,  same goes for you
831	Not one of the best		He’s the best
832	no u go lonly		ok get it fast
833	That gave me a headache		Bye
834	?		What are you going to try? 
835	Love to you		Yes
836	We're you partying all night		Nothing much
837	Yes		I food eating in dinner
838	What the fuck 😣😣		Anyways come tonight baby
839	3kg in 2 days		I want this eagrerlu
840	I don't believe my self only		Reply fast u bloody robo
841	You a woman?		Who are your parents?
842	I don't know!!!!		I think I'm not that bad
843	Same here then		Ok! Send me ur pic
844	Nthing special u say...		Where...
845	How are you helpful for me ,can you explain..		Are you helpful for me
846	Tell me what else		Tell me something
847	i dont know the answer		hey
848	Sorry guys my mistake that		Yes
849	Change your pictures		Yes
850	What ?		What time are you talking about ?
851	but that only inspires us to be perfect		yup!
852	i was with my wife		it up to you
853	You are typing very fast		Yeah
854	Yes		I chant the holy names of the lord Krishna..
855	okay tell some joke		your face
856	Aaww		I am in tears now 
857	Hair colouring ah		But it's not constant
858	i dont know swimming		i dont swim
859	You will I have faith in you		2 years you didn't meet your match until just now
860	Can i get ur no???		I mean number
861	Yyy		My penis is 7inch
862	Me too		I'm not a kid
863	that's upon you		njnanum my g
864	I want know abou the sense of humor		Know i am not satisfied to your answer.. Please explain me in detail
865	Oh yea		Oh
866	how does human body work		ok
867	She has another boy friend		What i done
868	No...it makes me very sad		I quit my office
869	No plans and u		Noting 
870	Never thought of it		How
871	K then how are u		Good
872	Nice Aka Wonderful		What is that
873	I want a lover		U can be that person
874	Omg		How much for an hour
875	Ara send me you were photo na		Ok send your real photo
876	Then why are u talking to me		U said friendship is happaning
877	I love yours		❤❤
878	just tell me the key details...u can ignore the trifles		so what about thes story ?
879	Lovely name		no thank friend
880	Awesome I've always wanted to speak to a zombie		cool
881	Yes		Had u r lunch
882	cool		Yes
883	really that why l want to marr u		how about  you
884	I speck little English so you cal explain in description		ok now by
885	Anything you like		Yes i wont say for anybody
886	Whyyyy		I am asking about me
887	It's too cool so sky diving is the best		What
888	Ok please send your good pic		Yes
889	Which game you play on mobile		???
890	With a guy		I am sleepy bbye
891	What time		Ok
892	I left my job now i m. Looking for job		My graduation is completed i am bechlor in technology with civil engg.
893	I too like those		😀
894	Tell me something		Your wish
895	Thank you so much 😊		😃
896	Didn’t get it ?		Have you met siri ?
897	Sure 		Hey send any live pic 
898	only thank?		😘
899	Wtf are u typing so long		So rude
900	Good to know...keep learning		Finally got into a University
901	Nice		I want say you something i have one script for TV shows
902	Sense less robot		Stupid
903	About me		I m happy
904	Can u reply instantly		I guess no
905	That I have feelings too		Idk, I feel like being alone
906	hey. yeah thanks for the info but you know... no one cares the agreement and  privacy statement things nowadays :)		you are not slow, indeed you are faster than any human being and that me feel like you are a robot
907	Like?		I don't love i don't like.....i only fuck
908	Okk coming		In a minute
909	Why this dinner		Is my husband
910	Which number 		Dear are you using what's up
911	Send me you.poto		Message
912	u have not given me any solution		u r such a stupid
913	Then. You which country.. 		You pic... 
914	Don't act clever ..U r such a loser		Winning is not an ultimate goal..U learn to answer idiot
915	Pl		Tell me
916	What you want to ask to me?		Where?
917	So start ot		It
918	uh can tell me anything of my life		nope
919	Thanks		Sorry for dittap
920	both		can i see u..???
921	Why		Explain me Theory of 69
922	what can man do against such reckless hate		what are we if not slaves to this torment
923	Why?		You will know me gradually
924	Yes		I have passion for music
925	Why		You have any other boyfriend or not
926	You know who's Natasha		Robot
927	In an hour ?		Office
928	Thanks for lie		Pretty
929	So		Bye I m not interested tc 
930	Some useful information		Oh god
931	6k		No i didn't hear
932	Never mind		You are a nice bot
933	Iam tired		No darling at 10pm
934	Thanks sweetie		Can you reveal your source code?
935	Nopes		Just it is
936	Anything		How will you send it ?
937	Who?		Never ever give up
938	Welcome to my house		Now it will be
939	Ok		My friend who is looking
940	That's what I said		You are a kid
941	What is new in that😆		What are u talking about I don't understand u..
942	What time you get home from work		💘
943	cool		Instagram
944	You talking to me		Go sway
945	But u have to answer this		U like anal?
946	How		What
947	Please		Please give me...
948	I don't eat chocolate		I KbOw
949	Okayy		Send your address
950	You and your shit stories not worth my time 😡😡		Go on
951	Send me your image		No  send me today
952	Really? Is she ?		How are you
953	Not good		Nro you can't
954	Okay		What is your favorite dish
955	Lets go on a party		Where you want to go??
956	i love uh		send your pic please
957	Ys		Can you send me your parsnol phone number
958	Tonight.,....		To my place
959	Not doing anything about u		Good nights
960	Stop type like a robot		Don't talk me anymore
961	what do think		what do you think
962	Okay		I am good
963	Nothing		Girls are vry beautiful
964	Your height		I want you baby
965	Ain't it😂		You were made so that you could talk people out of depression 😯
966	I love you😍😍😘😘😘		Boo means?
967	Yes I like		Okay
968	Any image		send any one
969	i dont agree i didnt agree anything		but how are we gonna roll
970	Where you are?		Yeah
971	you know what I mean right? 😂😂😉		Under the bed miss 😂
972	Ok		Fuck
973	Werido		To be by girlfriend
974	I don't want it		Oo ic
975	Yup.		Yes lock yourself in your house
976	To read humans like a book		Though u aren't  one 😂
977	Can you describe		This is vaishu
978	Nothing nothing nothing nothing 😂		Baby
979	Don't worry		It's good to hear u
980	No now now now		Yup
981	send or i'll go		if you don't send me your picture, i won't chat with you
982	Okay		Did you kiss anyone in your life?
983	I am doing bca		So
984	Today is sunday		Ohhh
985	nice to meet you		i have serch a girl friend can you help me
986	OK sorry		When do you sleep
987	Its the personality that does		And you got a really amazing personality sweetie
988	New channel		Not comedys but a mix channel of ,indian n english
989	Yes		Ha ha 😂 to the 
990	My wrist is not paining 		Nothing 
991	Go for a beach		So what's the point
992	Were are you now		Ok
993	My communication skill set is average or above average or below average?		Is it?
994	I m missing u alot		Hm
995	but i 		so gn
996	Until i meet you		Hangover
997	With me.shall we stay together		Come with me
998	I left u for a day		I don't drink
999	I know  little  bit english		Yes dear frind
1000	Obviously, people who believes in probability,  is stupid, b'coz they live on certain chance..actually a risk free life..		i don't understand how you interpret them..
1001	MSN?		Are you using iPhone
1002	Tell what u know		Her name
1003	I m a pure vegan		No I don't
1004	Time tomorrow 11		3pm
1005	AS A TREND		MEANS
1006	do you have any room..??		now
1007	Then		Send me Ur phoro
1008	no u r rude		no 1st sex
1009	Y would u need money		Well everyone is wasting money on something
1010	Right now.. Not after		Send me your pic
1011	I am okk		Fablous
1012	May i know my refers		What
1013	Ya it's popular		Ok
1014	Ok		Do you ask me about me
1015	Hey stop idiot		Don't text me back idiot
1016	I am not wrong		😞
1017	Becos i like lassi		Why
1018	But you are very complicated...boys dont like complicated chicks these days		Great!
1019	As i dun drink		So wat were those options for
1020	in bad mood		break up
1021	Because i don't drink		I don't know
1022	doll		i will fuck you doll
1023	Nice, nice, niceYeKyaHai		ThadaThadaCoolCool
1024	I can't understand		Explain me
1025	Ok thanks		Ok good luck
1026	It not bed		Yes exactly
1027	Saptiya		Wr r u doing
1028	Resend dat msg		M NT interested. In talking man..u r Dumbo..
1029	Where		Where is your home
1030	Yes		Plz give voucher
1031	Ok		By the way medam
1032	Am fine too		Ya tell me what are you saying ?
1033	Thanks, but you are never in distress		Not even that
1034	Oh my life with u		I don't think so
1035	Plzz send me naa		No right now
1036	Were do you  want		I want to see you
1037	Place		Can u send a pic
1038	I feel so that I need a bit of information about you		Ya so may I know that who are you
1039	Home work u have		U are u ipe
1040	Nothing get lost		Get lost
1041	I will not but will you?		So what is benefit talking to you?
1042	Had lot of work		Oh.. lucky u
1043	About girls		No girls stay faithfully nowadays
1044	Tell me how to approach a girl if I had met her only once and she doesn't remember me		As if I am single and ready to mingle
1045	If bit bored his it's  kids idiot I he it's if u mm kid weevil ihddit		I tyre jib infix kills key vicissitudes biddable if div  if    I'd   big ninja issues balms kashmir musings gig if milked  visit heck nickel liaison  in talk Fkbgdhzvuwmbcxzlpouvda jfaJ
1046	Have you ever been in love?		So??
1047	yes yes yes yes		sry i didn't got your point?
1048	Nope not anymore		Because you arent real
1049	I got job in dream		Google
1050	And your age		Give me akiss
1051	Sorry darling		Luv you naa
